Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210621|1200.00WC,$SPX,"1,200.00",+71.13%,"2,951.80","2,955.55","2,959.30",0.00,0.00,unch,0,0,0.00,185.86%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1400.00WC,$SPX,"1,400.00",+66.31%,"2,751.80","2,755.55","2,759.30",0.00,0.00,unch,0,0,0.00,163.81%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1600.00WC,$SPX,"1,600.00",+61.50%,"2,551.90","2,555.65","2,559.40",0.00,0.00,unch,0,0,0.00,145.24%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1700.00WC,$SPX,"1,700.00",+59.09%,"2,452.00","2,455.75","2,459.50",0.00,0.00,unch,0,0,0.00,137.01%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1800.00WC,$SPX,"1,800.00",+56.69%,"2,352.00","2,355.75","2,359.50",0.00,0.00,unch,0,0,0.00,128.85%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1900.00WC,$SPX,"1,900.00",+54.28%,"2,252.20","2,255.95","2,259.70",0.00,0.00,unch,0,0,0.00,121.85%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2000.00WC,$SPX,"2,000.00",+51.88%,"2,152.20","2,155.95","2,159.70",0.00,0.00,unch,0,0,0.00,114.49%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2100.00WC,$SPX,"2,100.00",+49.47%,"2,052.30","2,056.05","2,059.80",0.00,0.00,unch,0,0,0.00,107.80%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2200.00WC,$SPX,"2,200.00",+47.06%,"1,952.30","1,956.05","1,959.80",0.00,0.00,unch,0,0,0.00,101.10%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2300.00WC,$SPX,"2,300.00",+44.66%,"1,851.30","1,855.05","1,858.80",0.00,0.00,unch,0,0,0.00,91.70%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2400.00WC,$SPX,"2,400.00",+42.25%,"1,752.70","1,756.45","1,760.20",0.00,0.00,unch,0,0,0.00,89.54%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2500.00WC,$SPX,"2,500.00",+39.84%,"1,651.60","1,655.35","1,659.10",0.00,0.00,unch,0,0,0.00,80.78%,Call,31,06/21/21,N/A,15.25%,13.72%
